name,score
PATRICK,46
ROHA,60
MILES,81
LIAM,70
PHILIP,60
ZUNE,60
DEAN,60
THOR,26
BK,84
GLORIA,60
PATRICK,60
DEAN,47
RINA,62
BRANDON,60
AEGON,60
MILES,54
LUKE,27
ROY,41
ROHA,65
LUMI,65
ALLAN,25
JOY,64
NIKE,60
MEIIA,69
GOLD,60
LUMI,64
CROW,55
JEFF,40
THEO,60
ED,60
DEAN,53
ZUNE,30
LUCAS,45
OCEAN,24
MILES,41
WENDY🎅,52
LIAM,15
IVAN,75
ELLA❄️,38
MEIIA,60
LIAM,43
ED,30
WADE,45
CROW,73
DEAN,75
ELLE,50
DEAN,60
ROMY,47
BRICE,41
DANIEL,51
ROHA,41
THOR,60
JEFF,48
WADE,53
IVAN,42
JOY,55
ALLAN,60
THOR,60
MEIIA,48
ZUNE,60
MARVIN,150
ELLE,59
ALLAN,65
CINDY,113
DG,60
ALLAN,45
JUSTIN,130
TIANA,29
CINDY,65
LUCA,110
MEIIA,53
BEN,73
ZEN🎄,100
THEO,62
LUKE,60
CAISY,60
GOLD,26
ROHA,60
CROW,75
LUCA,75
ROHA,60
BK,69
OCEAN,65
SANG❄️HWA,48
ZEN🎄,41
ELLE,26
BK,69
CROW,89
ALLAN,48
LUKE,65
ROHA,41
OCEAN,90
DEAN,80
ROHA,60
DEAN,60
MILES,60
MILES,60
MILES,73
GREEN,24
ZEN🎄,100
DEAN,4
DANIEL,73
GREEN,29
JUSTIN,43
DEAN,100
ROHA,60
ALLAN,41
JARROD,60
ELLE,100
ZUNE,60
DANIEL,75
VAN,60
PHILIP,60
WENDY🎅,89
MILES,60
WADE,40
CROW,82
THOMAS,23
LUCA,45
JEFF,68
ALLAN,140
ZUNE,60
ISLA,65
RO,60
OCEAN,65
ELLE,60
MILES,60
RO,58
THOMAS,95
☃️,65
GOLD,60
SCOTT,65
ELLE,60
WADE,57
LUKE,66
PATRICK,95
WADE,37
NIKE,60
DERRI,53
PATRICK,43
ISLA,100
IVAN,46
DANIEL,26
JARROD,60
PHILIP,60
THOMAS,9
WADE,26
MILES,60
ZEN🎄,60
LUCA,119
LUCA,110
ELLE,54
PHILIP,45
PATRICK,43
JUSTIN,59
JEFF,37
ALLAN,26
PATRICK,65
ERIC,59
ED,60
RINA,87
RIVER,6
IVAN,90
JEFF,92
DG,43
ALLAN,90
CROW,40
ALLAN,70
ZEN🎄,48
IVAN,22
LUCAS,48
LIAM,60
LUCA,70
JUSTIN,45
DANIEL,60
OCEAN,60
DEAN,60
DEAN,60
ROHA,60
ISLA,60
ELLE,48
ZEN🎄,60
THOR,60
DANIEL,60
JED,57
RINA,43
ZEN🎄,60
ROHA,45
PATRICK,41
ROHA,105
HACKER,0
ROY,31
ELLE,60
HAZEL,25
GOLD,45
ROMY,5
JUSTIN,85
DANIEL,41
ERIC,53
ROHA,46
DEAN,45
ROHA,50
JUSTIN,90
MEIIA,43
JARROD,45
LUCAS,40
ZEN🎄,65
MEIIA,43
JEFF,48
RO,65
CHLOE,60
DEAN,100
LUCA,43
BEN,43
RINA,70
PATRICK,35
GOLD,53
LUKE,60
ELLE,3
ELLE,27
ROHA,45
GREEN,23
ELLE,45
MILES,78
DAVID,41
ROHA,29
ZEN🎄,45
PATRICK,81
THOR,100
ALLAN,41
BK,53
ALLAN,60
BK,24
BK,78
DANIEL,100
ZEN🎄,100
ZEN🎄,60
ROHA,97
CINDY,62
DEAN,100
IVAN,42
DANIEL,41
ZEN🎄,60
ROMY,48
LUCAS,60
OCEAN,27
ZEN🎄,57
CINDY,26
B⭐,86
JUSTIN,60
ELLE,60
LUKE,60
ZEN🎄,60
JARROD,60
THOR,43
CROW,78
IVAN,41
ERIC,67
OCEAN,85
RO,59
GOLD,60
ZEN🎄,22
DANIEL,22
WENDY🎅,42
DANIEL,60
ZEN🎄,65
DANIEL,46
ALLAN,65
ELLE,26
OCEAN,60
LUKE,32
GREEN,44
OCEAN,60
ROHA,46
WADE,60
ROMY,74
ALLAN,60
JEFF,35
THOR,60
PATRICK,41
IVAN,71
JARROD,60
ROHA,59
DANIEL,43
ROHA,48
WYNN,65
JUSTIN,90
ISLA,31
DEAN,29
JERRY,78
OCEAN,60
MILES,120
PATRICK,50
PATRICK,60
PATRICK,73
PATRICK,59
RIVER,31
JEFF,67
AEGON,81
IVAN,78
NIKE,140
JED,65
WENDY🎅,46
MILES,60
ZUNE,39
THEO,60
ALLAN,90
MILES,62
MILES,60
DANIEL,45
PATRICK,70
THOR,60
PHILIP,60
MILES,90
PATRICK,43
PATRICK,33
ALLAN,60
GREEN,85
BEN,53
BRANDON,90
MILES,65
DANIEL,60
THOR,60
ELLE,65
DEAN,81
JUSTIN,42
DEAN,90
DEAN,41
PATRICK,85
WADE,95
LUKE,100
ALLAN,41
DANIEL,41
BEN,40
ALLAN,100
ROHA,34
PHILIP,32
ROHA,60
ELLE,40
DEAN,60
DANIEL,9
PATRICK,60
ZEN🎄,100
ALLAN,43
ERIC,78
ZEN🎄,100
WADE,96
ZEN🎄,60
YENNY,68
ISLA,60
RINA,30
THEO,34
JARROD,65
ELLIE,70
PATRICK,70
ROMY,7
ROMY,56
DEAN,94
GREEN,46
JOY,26
LUCA,83
ROHA,60
MARVIN,60
GOLD,60
ELLIE,24
ZEN🎄,100
THOR,90
BRANDON,60
PATRICK,90
MILES,90
DEAN,29
ZEN🎄,60
PHILIP,45
BEN,46
GOLD,100
GREEN,38
ELLE,70
LUMI,91
ELLE,60
LUMI,34
JOY,60
LUMI,60
DANIEL,24
RIVER,119
ROHA,43
PHILIP,65
ALLAN,60
JUSTIN,65
MILES,100
ED,60
ELLE,60
DEAN,60
BK,22
GLORIA,60
JEFF,48
BK,68
ISLA,65
MILES,60
JUSTIN,33
ROY,45
ELLE,60
ZEN🎄,60
WOODY,60
SASHA,65
IVAN,125
ELLE,60
THOR,60
🔔LUIS,60
ROMY,54
DEAN,60
CHLOE,60
ROY,75
LUKE,24
MILES,52
ELLE,56
LUCA,31
WADE,75
ED,65
NIKE,60
TIANA,100
MEIIA,31
DANIEL,92
WADE,40
PHILIP,125
ED,100
LUKE,33
ROHA,60
WOODY,53
TIANA,76
ELLE,60
OCEAN,80
MEIIA,55
SANG❄️HWA,48
LUKE,65
BRICE,60
ALLAN,41
ALLAN,60
ALLAN,60
THOR,60
ED,43
OLIVIA,6
GLORIA,23
MILES,100
DERRI,9
TIANA,31
MEIIA,78
CROW,26
MEIIA,65
AEGON,60
ALLAN,46
DANIEL,41
ELLA❄️,60
ERIC,94
JOY,60
ALLAN,60
IVAN,42
DANIEL,105
LUCA,95
LUCA,64
OCEAN,60
CROW,73
JEFF,76
WADE,120
ROHA,100
JUSTIN,60
JARROD,49
MILES,100
LUCA,27
ELLE,60
DANIEL,50
ROHA,62
LUKE,57
ELLE,70
NIKE,65
ED,65
PATRICK,45
CROW,65
RO,47
ALLAN,60
ZEN🎄,100
ROHA,60
ALLAN,60
DANIEL,24
🔔LUIS,94
OCEAN,100
ROMY,40
BRICE,60
MILES,60
ZEN🎄,60
ED,60
JOHN,24
ZUNE,60
JEFF,100
TIANA,23
MILES,54
JUSTIN,57
ELLE,60
GOLD,29
ZUNE,100
ROHA,48
DEAN,60
JIA,53
MILES,48
NIKE,60
PATRICK,60
SCOTT,60
PATRICK,35
JEFF,33
ED,42
SANG❄️HWA,53
MILES,90
DEAN,46
MILES,48
GLORIA,60
ZEN🎄,100
RO,60
ROHA,60
CROW,45
DEAN,103
LUCA,73
THOMAS,58
MARVIN,60
GLORIA,56
ED,60
DANIEL,70
IVAN,70
JUSTIN,65
ZEN🎄,100
ZEN🎄,60
ROY,60
ISLA,120
WADE,9
DANIEL,65
ROHA,46
WADE,73
LUCAS,45
LUCAS,41
PHILIP,100
ALLAN,60
DG,6
ZUNE,24
JUSTIN,60
JUSTIN,60
DANIEL,60
ZEN🎄,60
LUCA,100
ROHA,45
PATRICK,100
JEFF,78
OLIVIA,45
DEAN,90
SANG❄️HWA,92
LUCA,125
VAN,45
THOR,60
MILES,60
RO,60
DANIEL,51
ED,70
ED,60
FRNK,95
RINA,41
JOY,73
JUSTIN,65
LUKE,41
DG,53
LUCA,65
ZEN🎄,60
ZEN🎄,100
DANE,60
ZEN🎄,100
MARVIN,60
DEAN,41
WADE,70
CHLOE,43
LUKE,60
ELLE,41
BK,80
SANG❄️HWA,89
BRICE,46
ELLIE,95
GLORIA,18
FRNK,64
ZEN🎄,45
IVAN,92
ROHA,60
ED,90
PATRICK,10
MEIIA,23
MARVIN,40
BEN,33
PHILIP,140
IVAN,125
ELLE,60
CROW,9
GLORIA,57
ALLAN,60
DANIEL,57
PATRICK,45
ZEN🎄,60
DEAN,9
DANE,60
THOR,41
PATRICK,100
THOR,135
LIAM,39
MILES,23
CROW,43
DEAN,65
MILES,100
JEFF,27
DEAN,60
IVAN,62
MARVIN,100
DEAN,60
ISLA,45
JUSTIN,43
DEAN,100
ZEN🎄,60
IVAN,43
ELLE,53
THOR,71
THEO,29
ELRIC,75
MEIIA,60
IVAN,77
